,CGPA,AttendancePercent,AptitudeTestScore,CodingTestScore,MockInterviewScore,Salary Package
CGPA,1.0,0.5671764999751605,0.639591923104044,0.6961599783072244,0.6042312845447773,0.822902791418352
AttendancePercent,0.5671764999751605,1.0,0.661628892504931,0.7179407004791861,0.6848336247472694,0.5421193870250176
AptitudeTestScore,0.639591923104044,0.661628892504931,1.0,0.8100480240819407,0.6885087003473123,0.5475852891566563
CodingTestScore,0.6961599783072244,0.7179407004791861,0.8100480240819407,1.0,0.7529647096066237,0.6021086336884548
MockInterviewScore,0.6042312845447773,0.6848336247472694,0.6885087003473123,0.7529647096066237,1.0,0.6668101862399994
Salary Package,0.822902791418352,0.5421193870250176,0.5475852891566563,0.6021086336884548,0.6668101862399994,1.0
