Feature,Q1,Q3,IQR,Lower_Fence,Upper_Fence,Outlier_Count,Outlier_Percentage
CGPA,6.04,8.48,2.4400000000000004,2.3799999999999994,12.14,0,0.0
AttendancePercent,67.6,85.9,18.30000000000001,40.14999999999998,113.35000000000002,0,0.0
AptitudeTestScore,58.5,79.7,21.200000000000003,26.699999999999996,111.5,0,0.0
CodingTestScore,45.9,73.3,27.4,4.800000000000004,114.39999999999999,408,0.8160000000000001
MockInterviewScore,44.2,69.2,25.0,6.700000000000003,106.7,0,0.0
Salary Package,0.0,18.41,18.41,-27.615000000000002,46.025000000000006,0,0.0
