Epoch,MSE
1,264.4587844885452
2,172.63653645614562
3,117.19302972298244
4,82.29042041486632
5,59.879016573545535
6,45.33926103616364
7,35.84318124282531
8,29.606176164050964
9,25.486252284052572
10,22.74754807262351
11,20.91389925182109
12,19.676152557902782
13,18.832921787653763
14,18.25254114143942
15,17.848565264953237
16,17.563960402631288
17,17.36088368649323
18,17.21406120185161
19,17.10648716384619
20,17.026622583478986
21,16.96656445172307
22,16.920844456428185
23,16.885637110893573
24,16.858234956545907
25,16.83669861589368
26,16.819621800581672
27,16.805972266753038
28,16.794983229724536
29,16.78607851983056
30,16.778820464512744
31,16.772873201799268
32,16.76797656536966
33,16.763927281862426
34,16.760565278004048
35,16.75776359692634
36,16.755420891919115
37,16.75345578132771
38,16.751802562200343
39,16.75040792655919
40,16.749228425115703
41,16.74822849360246
42,16.74737890642688
43,16.746655557593737
44,16.746038494183995
45,16.745511146089996
46,16.745059709222012
47,16.744672649419588
48,16.744340301795035
49,16.744054545891064
50,16.743808541335095
51,16.743596511966537
52,16.743413568953777
53,16.74325556538757
54,16.743118976374053
55,16.74300079985468
56,16.74289847432833
57,16.74280981039971
58,16.742732933672748
59,16.742666236980757
60,16.742608340323077
61,16.74255805718085
62,16.742514366128006
63,16.742476386849653
64,16.74244335983887
65,16.742414629171346
66,16.74238962786193
67,16.7423678653923
68,16.742348917068764
69,16.742332414926043
70,16.742318039940123
71,16.742305515351624
72,16.742294600933338
73,16.742285088061855
74,16.74227679547531
75,16.742269565617566
76,16.742263261484364
77,16.742257763899904
78,16.7422529691629
79,16.742248787010332
80,16.742245138854553
81,16.74224195625606
82,16.742239179599512
83,16.742236756945196
84,16.742234643032226
85,16.742232798412907
86,16.74223118870069
87,16.742229783916553
88,16.742228557920626
89,16.742227487917837
90,16.74222655402777
91,16.742225738910264
92,16.74222502743948
93,16.742224406420046
94,16.742223864339827
95,16.74222339115451
96,16.742222978099935
97,16.742222617528487
98,16.74222230276651
99,16.742222027990024
100,16.742221788116296
101,16.74222157870935
102,16.74222139589752
103,16.742221236301564
104,16.74222109697195
105,16.74222097533413
106,16.742220869140837
107,16.742220776430415
108,16.742220695490502
109,16.742220624826302
110,16.742220563132957
111,16.742220509271352
112,16.74222046224707
113,16.74222042119201
114,16.74222038534832
115,16.742220354054375
116,16.7422203267326
117,16.742220302878724
118,16.742220282052532
119,16.742220263869687
120,16.742220247994656
121,16.742220234134493
122,16.74222022203346
123,16.742220211468258
124,16.742220202243967
125,16.74222019419038
126,16.742220187158914
127,16.74222018101984
128,16.742220175659895
129,16.742220170980193
130,16.742220166894395
131,16.742220163327133
132,16.742220160212593
133,16.74222015749332
134,16.742220155119146
135,16.74222015304628
136,16.742220151236477
137,16.74222014965635
138,16.742220148276758
139,16.742220147072246
140,16.742220146020596
141,16.742220145102408
142,16.742220144300745
143,16.742220143600814
144,16.742220142989712
145,16.742220142456162
146,16.742220141990323
147,16.742220141583605
148,16.742220141228497
149,16.74222014091846
150,16.742220140647763
151,16.742220140411423
152,16.742220140205074
153,16.74222014002491
154,16.742220139867612
155,16.742220139730275
156,16.742220139610364
157,16.742220139505676
158,16.742220139414272
159,16.742220139334467
160,16.742220139264788
161,16.742220139203955
162,16.742220139150838
163,16.742220139104464
164,16.742220139063978
165,16.742220139028625
166,16.742220138997762
167,16.74222013897081
168,16.742220138947285
169,16.742220138926744
170,16.742220138908806
171,16.74222013889315
172,16.74222013887948
173,16.742220138867538
174,16.742220138857117
175,16.74222013884802
176,16.74222013884007
177,16.742220138833137
178,16.74222013882708
179,16.742220138821793
180,16.742220138817174
181,16.742220138813142
182,16.742220138809625
183,16.74222013880655
184,16.742220138803873
185,16.742220138801528
186,16.742220138799485
187,16.7422201387977
188,16.74222013879614
189,16.742220138794778
190,16.742220138793588
191,16.742220138792554
192,16.742220138791648
193,16.742220138790856
194,16.742220138790163
195,16.74222013878956
196,16.742220138789033
197,16.742220138788575
198,16.742220138788177
199,16.742220138787825
200,16.74222013878752
201,16.742220138787253
202,16.742220138787015
203,16.742220138786813
204,16.742220138786635
205,16.742220138786482
206,16.742220138786347
207,16.742220138786227
208,16.742220138786124
209,16.742220138786035
210,16.742220138785957
211,16.74222013878589
212,16.742220138785825
213,16.742220138785772
214,16.74222013878573
215,16.74222013878569
216,16.742220138785655
217,16.742220138785623
218,16.742220138785598
219,16.742220138785573
220,16.742220138785555
221,16.742220138785537
222,16.74222013878552
223,16.742220138785505
224,16.742220138785495
225,16.742220138785488
226,16.742220138785477
227,16.742220138785466
228,16.742220138785463
229,16.742220138785456
230,16.74222013878545
231,16.74222013878545
232,16.74222013878544
233,16.742220138785438
234,16.742220138785434
235,16.742220138785434
236,16.74222013878543
237,16.742220138785427
238,16.742220138785424
239,16.742220138785424
240,16.742220138785424
241,16.742220138785424
242,16.74222013878542
243,16.74222013878542
244,16.74222013878542
245,16.74222013878542
246,16.74222013878542
247,16.74222013878542
248,16.74222013878542
249,16.742220138785413
250,16.742220138785417
251,16.742220138785417
252,16.742220138785417
253,16.74222013878542
254,16.742220138785413
255,16.742220138785417
256,16.742220138785413
257,16.742220138785413
258,16.742220138785413
259,16.742220138785413
260,16.742220138785413
261,16.742220138785417
262,16.742220138785413
263,16.742220138785413
264,16.742220138785413
265,16.742220138785413
266,16.742220138785413
267,16.742220138785413
268,16.742220138785413
269,16.742220138785413
270,16.742220138785413
271,16.742220138785413
272,16.742220138785413
273,16.742220138785413
274,16.742220138785413
275,16.742220138785413
276,16.742220138785413
277,16.742220138785413
278,16.742220138785413
279,16.742220138785413
280,16.742220138785413
281,16.742220138785413
282,16.742220138785413
283,16.742220138785413
284,16.742220138785413
285,16.742220138785413
286,16.742220138785413
287,16.742220138785413
288,16.742220138785413
289,16.742220138785413
290,16.742220138785413
291,16.742220138785413
292,16.742220138785413
293,16.742220138785417
294,16.742220138785413
295,16.742220138785413
296,16.742220138785413
297,16.742220138785413
298,16.742220138785413
299,16.742220138785413
300,16.742220138785413
301,16.742220138785413
302,16.742220138785413
303,16.742220138785413
304,16.742220138785413
305,16.742220138785413
306,16.742220138785413
307,16.742220138785413
308,16.742220138785413
309,16.742220138785413
310,16.742220138785413
311,16.742220138785413
312,16.742220138785413
313,16.742220138785413
314,16.742220138785413
315,16.742220138785413
316,16.742220138785413
317,16.742220138785413
318,16.742220138785417
319,16.742220138785413
320,16.742220138785413
321,16.742220138785413
322,16.742220138785417
323,16.742220138785413
324,16.742220138785413
325,16.742220138785413
326,16.742220138785413
327,16.742220138785413
328,16.742220138785413
329,16.742220138785413
330,16.742220138785413
331,16.742220138785417
332,16.742220138785413
333,16.742220138785413
334,16.742220138785413
335,16.742220138785413
336,16.742220138785413
337,16.742220138785413
338,16.742220138785413
339,16.742220138785413
340,16.742220138785413
341,16.742220138785413
342,16.742220138785413
343,16.742220138785413
344,16.742220138785413
345,16.742220138785413
346,16.742220138785413
347,16.742220138785413
348,16.742220138785413
349,16.742220138785413
350,16.742220138785413
351,16.742220138785413
352,16.742220138785413
353,16.742220138785413
354,16.742220138785413
355,16.742220138785417
356,16.742220138785413
357,16.742220138785413
358,16.742220138785413
359,16.742220138785413
360,16.742220138785413
361,16.742220138785413
362,16.742220138785417
363,16.742220138785413
364,16.742220138785417
365,16.742220138785413
366,16.742220138785413
367,16.742220138785413
368,16.742220138785417
369,16.742220138785413
370,16.742220138785413
371,16.742220138785413
372,16.742220138785413
373,16.742220138785413
374,16.742220138785417
375,16.742220138785413
376,16.742220138785413
377,16.742220138785413
378,16.742220138785413
379,16.742220138785413
380,16.742220138785413
381,16.742220138785413
382,16.742220138785417
383,16.742220138785413
384,16.742220138785413
385,16.742220138785413
386,16.742220138785413
387,16.742220138785413
388,16.742220138785413
389,16.742220138785413
390,16.742220138785413
391,16.742220138785413
392,16.742220138785417
393,16.742220138785413
394,16.742220138785413
395,16.742220138785413
396,16.742220138785413
397,16.742220138785413
398,16.742220138785413
399,16.742220138785413
400,16.742220138785413
401,16.742220138785413
402,16.742220138785413
403,16.742220138785413
404,16.742220138785413
405,16.742220138785413
406,16.742220138785413
407,16.742220138785413
408,16.742220138785413
409,16.742220138785413
410,16.742220138785413
411,16.742220138785413
412,16.742220138785413
413,16.742220138785413
414,16.742220138785413
415,16.742220138785413
416,16.742220138785413
417,16.742220138785413
418,16.742220138785413
419,16.742220138785413
420,16.742220138785413
421,16.742220138785413
422,16.742220138785413
423,16.742220138785413
424,16.742220138785413
425,16.742220138785413
426,16.742220138785413
427,16.742220138785413
428,16.742220138785413
429,16.742220138785413
430,16.742220138785413
431,16.742220138785413
432,16.742220138785413
433,16.742220138785413
434,16.742220138785413
435,16.742220138785413
436,16.742220138785413
437,16.742220138785413
438,16.742220138785413
439,16.742220138785417
440,16.742220138785417
441,16.742220138785413
442,16.742220138785413
443,16.742220138785413
444,16.742220138785413
445,16.742220138785413
446,16.742220138785413
447,16.742220138785413
448,16.742220138785413
449,16.742220138785413
450,16.742220138785413
451,16.742220138785413
452,16.742220138785413
453,16.742220138785413
454,16.742220138785413
455,16.742220138785413
456,16.742220138785413
457,16.742220138785413
458,16.742220138785413
459,16.742220138785413
460,16.742220138785413
461,16.742220138785413
462,16.742220138785413
463,16.742220138785413
464,16.742220138785413
465,16.742220138785413
466,16.742220138785413
467,16.742220138785413
468,16.742220138785413
469,16.742220138785413
470,16.742220138785413
471,16.742220138785413
472,16.742220138785413
473,16.742220138785413
474,16.742220138785413
475,16.742220138785413
476,16.742220138785413
477,16.742220138785413
478,16.742220138785413
479,16.742220138785413
480,16.742220138785413
481,16.742220138785413
482,16.742220138785413
483,16.742220138785413
484,16.742220138785413
485,16.742220138785413
486,16.742220138785413
487,16.742220138785413
488,16.742220138785413
489,16.742220138785413
490,16.742220138785413
491,16.742220138785413
492,16.742220138785413
493,16.742220138785413
494,16.742220138785413
495,16.742220138785413
496,16.742220138785413
497,16.742220138785413
498,16.742220138785413
499,16.742220138785413
500,16.742220138785413
501,16.742220138785413
502,16.742220138785413
503,16.742220138785413
504,16.742220138785413
505,16.742220138785413
506,16.742220138785413
507,16.742220138785413
508,16.742220138785413
509,16.742220138785413
510,16.742220138785413
511,16.742220138785413
512,16.742220138785413
513,16.742220138785413
514,16.742220138785413
515,16.742220138785413
516,16.742220138785413
517,16.742220138785413
518,16.742220138785413
519,16.742220138785413
520,16.742220138785413
521,16.742220138785413
522,16.742220138785413
523,16.742220138785413
524,16.742220138785413
525,16.742220138785413
526,16.742220138785413
527,16.742220138785413
528,16.742220138785413
529,16.742220138785413
530,16.742220138785413
531,16.742220138785413
532,16.742220138785413
533,16.742220138785413
534,16.742220138785413
535,16.742220138785413
536,16.742220138785413
537,16.742220138785413
538,16.742220138785413
539,16.742220138785413
540,16.742220138785413
541,16.742220138785413
542,16.742220138785413
543,16.742220138785413
544,16.742220138785413
545,16.742220138785413
546,16.742220138785413
547,16.742220138785413
548,16.742220138785413
549,16.742220138785413
550,16.742220138785413
551,16.742220138785413
552,16.742220138785413
553,16.742220138785413
554,16.742220138785413
555,16.742220138785413
556,16.742220138785413
557,16.742220138785413
558,16.742220138785413
559,16.742220138785413
560,16.742220138785413
561,16.742220138785413
562,16.742220138785413
563,16.742220138785413
564,16.742220138785413
565,16.742220138785413
566,16.742220138785413
567,16.742220138785413
568,16.742220138785413
569,16.742220138785413
570,16.742220138785413
571,16.742220138785413
572,16.742220138785413
573,16.742220138785413
574,16.742220138785413
575,16.742220138785413
576,16.742220138785413
577,16.742220138785413
578,16.742220138785413
579,16.742220138785413
580,16.742220138785413
581,16.742220138785413
582,16.742220138785413
583,16.742220138785413
584,16.742220138785413
585,16.742220138785413
586,16.742220138785413
587,16.742220138785413
588,16.742220138785413
589,16.742220138785413
590,16.742220138785413
591,16.742220138785413
592,16.742220138785413
593,16.742220138785413
594,16.742220138785413
595,16.742220138785413
596,16.742220138785413
597,16.742220138785413
598,16.742220138785413
599,16.742220138785413
600,16.742220138785413
601,16.742220138785413
602,16.742220138785413
603,16.742220138785413
604,16.742220138785413
605,16.742220138785413
606,16.742220138785413
607,16.742220138785413
608,16.742220138785413
609,16.742220138785413
610,16.742220138785413
